project_id,project_type,state,district,land_area,affected_families,num_parcels,num_villages,notification_pct,survey_pct,verification_pct,objection_pct,award_pct,compensation_pct,rr_pct,possession_pct,overall_completion,legal_disputes,comp_total,comp_paid,comp_pending,avg_response_days,approval_delay,docs_total,docs_pending,doc_anomalies,velocity_change,project_value,delay_days,risk_score,delay_probability,is_delayed
LA-AP-0763,Railway,Andhra Pradesh,Guntur,1589.34,1461,1567,15,0.33,0.33,0.17,0.17,0.17,0.09,0.09,0,0.17,151,27690.8,2172.27,25518.53,14.0,46,292,78,14,-96.4,4098.78,128,76,0.7,1
LA-K-0295,SEZ,Karnataka,Belagavi,2496.37,1545,1625,17,0.76,0.51,0.44,0.36,0.31,0.31,0.3,0.12,0.39,63,24230.73,7333.82,16896.91,19.2,58,66,36,5,19.0,603.81,119,76,0.69,1
LA-K-0319,Defence,Karnataka,Tumakuru,1706.65,1464,1495,16,0.48,0.42,0.32,0.22,0.12,0.07,0.07,0.07,0.22,163,26633.49,1471.22,25162.27,23.3,45,51,16,3,-33.3,4529.88,118,76,0.74,1
LA-UP-0157,Power Transmission,Uttar Pradesh,Bareilly,402.95,764,719,7,0.57,0.57,0.44,0.44,0.32,0.22,0.22,0.22,0.38,52,12290.99,2176.91,10114.08,18.2,44,103,32,0,-65.9,2005.71,116,76,0.69,1
LA-AP-0801,Canal/Irrigation,Andhra Pradesh,Kakinada,660.55,1426,1529,15,0.55,0.54,0.41,0.28,0.28,0.1,0.1,0.06,0.29,229,10552.95,728.84,9824.11,18.3,16,73,31,4,0.0,2250.63,112,76,0.77,1
LA-WB-0655,Expressway,West Bengal,Malda,1270.91,1690,1608,16,0.5,0.38,0.38,0.25,0.23,0.08,0.08,0.08,0.25,215,32168.94,2358.27,29810.67,19.6,29,221,38,3,2.0,697.77,111,76,0.83,1
LA-K-0248,Metro Rail,Karnataka,Bengaluru,656.99,1604,1636,15,0.58,0.58,0.31,0.31,0.24,0.17,0.17,0.16,0.32,150,32295.08,5518.79,26776.29,22.2,58,97,53,3,-12.3,3135.41,108,76,0.68,1
LA-T-0723,SEZ,Telangana,Nalgonda,556.39,1551,1585,12,0.5,0.5,0.47,0.36,0.2,0.2,0.2,0.02,0.31,222,21918.44,4347.15,17571.29,23.4,56,93,55,9,-25.5,3116.83,108,76,0.71,1
LA-R-0384,Industrial Corridor,Rajasthan,Ajmer,360.26,353,329,6,0.56,0.53,0.31,0.26,0.14,0.14,0.04,0,0.25,26,2436.86,333.16,2103.7,17.5,50,253,59,15,37.5,728.69,106,76,0.74,1
LA-WB-0586,Smart City,West Bengal,Kolkata,2853.37,1766,1669,17,0.57,0.31,0.31,0.31,0.27,0.25,0.11,0,0.27,192,22032.92,4527.46,17505.46,16.7,48,241,40,9,-73.0,1226.34,96,76,0.7,1
LA-MP-0530,Smart City,Madhya Pradesh,Gwalior,406.38,262,431,3,0.48,0.48,0.42,0.37,0.37,0.28,0.18,0.06,0.33,30,5082.69,999.88,4082.81,12.4,52,298,40,1,-52.4,3030.82,91,76,0.82,1
LA-UP-0143,Industrial Corridor,Uttar Pradesh,Ghaziabad,504.51,1542,1475,15,0.46,0.46,0.25,0.25,0.24,0.01,0.01,0.01,0.21,186,26135.64,245.62,25890.02,23.9,45,297,32,2,12.2,1117.59,140,75,0.75,1
LA-AP-0810,SEZ,Andhra Pradesh,Rajahmundry,1911.34,1706,1597,13,0.33,0.33,0.24,0.23,0.23,0.06,0.06,0.06,0.19,179,40867.93,1890.12,38977.81,23.6,32,273,101,14,13.0,4661.04,133,75,0.82,1
LA-TN-0209,Defence,Tamil Nadu,Salem,944.45,780,795,8,0.41,0.41,0.41,0.27,0.2,0.2,0.11,0,0.25,8,12787.89,2327.21,10460.68,21.6,59,82,16,0,-67.5,4054.3,120,75,0.81,1
LA-AP-0747,Defence,Andhra Pradesh,Vijayawada,1058.74,443,583,6,0.64,0.62,0.37,0.37,0.37,0.22,0.22,0.22,0.38,23,6434.3,1136.1,5298.2,18.8,36,83,49,3,-27.6,1074.09,112,75,0.79,1
LA-R-0351,Defence,Rajasthan,Jodhpur,831.56,1221,1252,11,0.44,0.44,0.44,0.32,0.32,0.32,0.31,0.13,0.34,56,7730.05,2388.02,5342.03,23.5,26,267,47,13,-25.6,734.43,105,75,0.77,1
LA-WB-0580,Canal/Irrigation,West Bengal,Kolkata,52.98,173,165,3,0.51,0.51,0.51,0.31,0.31,0.31,0.23,0.11,0.35,19,1028.89,240.23,788.66,13.3,57,269,15,1,-33.3,1618.43,105,75,0.75,1
LA-K-0285,Expressway,Karnataka,Belagavi,218.96,344,414,3,0.74,0.64,0.52,0.52,0.4,0.36,0.32,0.23,0.47,20,6257.93,2139.74,4118.19,24.1,59,179,31,4,14.6,441.03,102,75,0.7,1
LA-R-0374,Airport,Rajasthan,Kota,1989.6,1047,1121,15,0.65,0.47,0.39,0.32,0.24,0.24,0.24,0.06,0.33,28,13508.2,3089.42,10418.78,18.7,49,266,29,0,-5.4,3902.7,102,75,0.8,1
LA-WB-0630,Power Transmission,West Bengal,Asansol,1022.34,1305,1459,14,0.53,0.5,0.39,0.17,0.17,0.1,0.1,0.1,0.26,13,21460.56,1567.67,19892.89,23.9,34,248,129,27,2.8,3257.44,100,75,0.69,1
LA-TN-0230,Expressway,Tamil Nadu,Erode,718.48,561,614,5,0.54,0.48,0.45,0.22,0.22,0.22,0.22,0.07,0.3,24,3313.8,570.13,2743.67,17.4,30,98,35,2,-7.9,3267.17,93,75,0.69,1
LA-R-0355,Smart City,Rajasthan,Jodhpur,817.4,639,593,4,0.43,0.42,0.29,0.24,0.22,0.22,0.11,0.11,0.26,74,13619.92,2254.31,11365.61,9.7,40,287,64,2,-9.5,2385.01,90,75,0.69,1
LA-T-0714,National Highway,Telangana,Mahbubnagar,1367.73,1283,1189,11,0.44,0.44,0.42,0.25,0.24,0.17,0.17,0.17,0.29,45,20071.69,3247.88,16823.81,24.8,20,300,29,2,8.5,2164.82,90,75,0.78,1
LA-K-0314,SEZ,Karnataka,Ballari,347.23,902,956,8,0.63,0.42,0.42,0.36,0.2,0.09,0.09,0.09,0.29,48,7093.35,587.5,6505.85,23.5,32,147,79,0,-52.0,1688.71,122,74,0.66,1
LA-R-0385,Power Transmission,Rajasthan,Ajmer,769.53,646,613,5,0.61,0.57,0.4,0.21,0.21,0.18,0.18,0.18,0.32,31,5662.32,875.55,4786.77,19.3,47,200,116,10,-8.3,1510.84,106,74,0.75,1
LA-M-0052,Canal/Irrigation,Maharashtra,Solapur,851.45,464,495,8,0.45,0.38,0.33,0.33,0.27,0.27,0.27,0.07,0.3,62,4672.82,1064.24,3608.58,21.0,19,263,70,13,0.0,4639.8,105,74,0.78,1
LA-TN-0205,Railway,Tamil Nadu,Salem,356.13,535,636,6,0.4,0.35,0.35,0.29,0.29,0.09,0.02,0.01,0.23,1,8271.07,525.81,7745.26,19.6,52,193,93,9,-7.7,2448.34,101,74,0.72,1
LA-T-0676,State Highway,Telangana,Warangal,577.93,386,387,4,0.57,0.48,0.26,0.14,0.14,0.14,0.14,0.11,0.25,16,4512.64,608.99,3903.65,22.0,29,280,92,22,0.0,3269.92,99,74,0.8,1
LA-AP-0812,Metro Rail,Andhra Pradesh,Rajahmundry,700.66,1942,1921,18,0.38,0.38,0.3,0.28,0.23,0.23,0.22,0.18,0.28,264,13462.86,2960.41,10502.45,23.9,8,124,37,8,-39.1,2808.82,97,74,0.8,1
LA-MP-0572,Smart City,Madhya Pradesh,Satna,220.17,373,399,4,0.73,0.73,0.67,0.48,0.46,0.46,0.46,0.28,0.53,8,7580.44,3069.17,4511.27,22.9,60,100,31,6,16.1,4089.53,95,74,0.8,1
LA-UP-0094,Expressway,Uttar Pradesh,Varanasi,792.93,403,506,5,0.75,0.75,0.6,0.56,0.56,0.43,0.41,0.33,0.55,29,5098.96,2186.37,2912.59,22.9,54,86,37,4,-25.0,2060.31,94,74,0.75,1
LA-MP-0541,National Highway,Madhya Pradesh,Ujjain,2911.98,1865,1771,18,0.62,0.57,0.47,0.4,0.24,0.1,0.1,0.1,0.33,56,23921.83,2226.7,21695.13,6.4,52,264,21,4,-28.2,2360.63,89,74,0.79,1
LA-MP-0537,Power Transmission,Madhya Pradesh,Gwalior,1140.1,626,721,8,0.4,0.29,0.29,0.29,0.17,0.17,0.01,0.0,0.2,86,12450.59,1828.03,10622.56,21.0,52,116,47,12,-63.2,2292.15,126,73,0.66,1
LA-T-0681,Canal/Irrigation,Telangana,Nizamabad,2504.8,2018,1831,16,0.61,0.53,0.27,0.27,0.27,0.15,0.15,0,0.28,245,11816.6,1536.93,10279.67,23.1,17,59,34,6,-12.9,4293.2,119,73,0.73,1
LA-TN-0224,SEZ,Tamil Nadu,Erode,752.17,321,383,3,0.6,0.37,0.18,0.18,0.18,0.18,0.18,0,0.23,55,7576.61,1062.55,6514.06,13.8,48,263,111,28,14.0,4739.87,113,73,0.76,1
LA-UP-0155,State Highway,Uttar Pradesh,Ghaziabad,240.09,589,608,7,0.65,0.53,0.46,0.46,0.44,0.26,0.26,0.2,0.41,24,11024.51,2655.12,8369.39,20.8,37,88,46,10,-37.7,4881.4,105,73,0.66,1
LA-M-0029,Industrial Corridor,Maharashtra,Aurangabad,836.76,790,982,13,0.38,0.38,0.38,0.21,0.18,0.18,0.12,0.04,0.23,27,9098.74,1462.62,7636.12,20.2,34,259,136,37,16.7,1980.41,100,73,0.69,1
LA-TN-0195,SEZ,Tamil Nadu,Coimbatore,272.57,694,675,8,0.49,0.49,0.32,0.32,0.32,0.19,0.1,0.04,0.28,9,7496.65,1022.83,6473.82,16.6,29,156,61,15,-83.3,4550.43,98,73,0.8,1
LA-M-0044,SEZ,Maharashtra,Thane,565.87,1723,1574,16,0.78,0.49,0.49,0.46,0.31,0.21,0.21,0.21,0.4,75,31329.57,5369.17,25960.4,15.3,44,130,8,1,7.5,2063.57,92,73,0.81,1
LA-G-0476,Industrial Corridor,Gujarat,Jamnagar,933.82,664,723,6,0.74,0.69,0.59,0.58,0.54,0.39,0.39,0.39,0.54,96,15728.05,5090.35,10637.7,24.9,36,161,69,6,-96.0,3253.75,90,73,0.68,1
LA-R-0345,Railway,Rajasthan,Jaipur,559.43,994,1022,10,0.45,0.45,0.33,0.33,0.29,0.17,0.12,0.09,0.28,60,8122.87,1148.73,6974.14,19.8,59,244,64,18,-3.5,3074.48,123,72,0.66,1
LA-WB-0624,Power Transmission,West Bengal,Durgapur,571.91,2140,1801,15,0.8,0.53,0.53,0.4,0.4,0.24,0.24,0.24,0.42,220,19895.79,3988.73,15907.06,16.0,58,248,18,1,-46.6,4612.87,111,72,0.78,1
LA-WB-0629,State Highway,West Bengal,Asansol,1865.74,1774,1909,17,0.59,0.59,0.49,0.43,0.39,0.22,0.22,0.22,0.39,72,9723.09,2032.55,7690.54,23.0,60,197,14,3,-22.5,1763.9,108,72,0.72,1
LA-T-0716,Airport,Telangana,Mahbubnagar,1284.78,1399,1526,13,0.46,0.46,0.46,0.4,0.15,0.15,0.15,0.13,0.29,102,30426.28,3798.36,26627.92,16.5,54,213,27,0,-32.7,3088.35,108,72,0.69,1
LA-T-0704,Power Transmission,Telangana,Khammam,2609.34,1720,1751,14,0.44,0.41,0.41,0.37,0.37,0.24,0.21,0.17,0.33,129,16470.96,2931.59,13539.37,20.6,37,225,14,4,-2.8,3500.11,105,72,0.74,1
LA-WB-0591,National Highway,West Bengal,Howrah,458.82,264,257,3,0.52,0.52,0.52,0.33,0.32,0.24,0.24,0.09,0.35,38,2223.57,481.11,1742.46,18.7,59,133,36,8,-12.2,2435.91,104,72,0.77,1
LA-M-0067,Expressway,Maharashtra,Amravati,1813.74,823,954,11,0.74,0.74,0.57,0.48,0.48,0.33,0.33,0.26,0.49,48,13470.64,4411.2,9059.44,18.8,50,245,22,2,-17.1,373.53,101,72,0.73,1
LA-MP-0517,Industrial Corridor,Madhya Pradesh,Jabalpur,3656.01,2125,2095,18,0.68,0.58,0.58,0.39,0.39,0.34,0.34,0.22,0.44,195,41446.09,13541.22,27904.87,20.7,53,205,117,32,14.8,324.57,99,72,0.65,1
LA-TN-0203,Railway,Tamil Nadu,Madurai,2867.35,1984,1880,15,0.72,0.65,0.52,0.47,0.47,0.36,0.34,0.31,0.48,185,27882.47,7841.79,20040.68,20.4,39,132,37,5,-11.3,1646.47,98,72,0.68,1
LA-UP-0154,Industrial Corridor,Uttar Pradesh,Ghaziabad,1762.45,1192,1243,9,0.45,0.31,0.3,0.14,0.1,0.1,0.03,0,0.18,48,15705.8,1390.74,14315.06,9.8,35,59,35,1,-86.2,2839.82,91,72,0.76,1
LA-WB-0639,Defence,West Bengal,Asansol,200.68,440,369,4,0.46,0.46,0.45,0.28,0.24,0.24,0.19,0.19,0.31,17,7289.28,1670.28,5619.0,18.6,24,139,44,0,-32.7,3411.74,83,72,0.7,1
LA-MP-0552,Power Transmission,Madhya Pradesh,Sagar,973.86,681,638,7,0.5,0.37,0.37,0.21,0.21,0.18,0.18,0.11,0.27,29,7555.59,1105.01,6450.58,14.2,59,178,11,0,1.9,2499.72,116,71,0.75,1
LA-UP-0127,SEZ,Uttar Pradesh,Prayagraj,2638.23,1676,1566,14,0.53,0.43,0.36,0.36,0.36,0.32,0.15,0.15,0.33,124,14516.8,3689.96,10826.84,23.7,14,242,86,13,-13.2,2942.32,109,71,0.71,1
LA-K-0246,State Highway,Karnataka,Bengaluru,1029.03,552,525,4,0.62,0.45,0.41,0.38,0.36,0.17,0.04,0.04,0.31,54,12405.69,1844.92,10560.77,16.3,32,253,106,14,-10.5,159.69,108,71,0.65,1
LA-R-0380,Expressway,Rajasthan,Kota,1350.18,1196,1118,8,0.7,0.62,0.45,0.34,0.29,0.29,0.22,0.22,0.39,132,16909.45,3631.1,13278.35,21.9,12,83,18,5,-96.0,571.91,107,71,0.63,1
LA-WB-0646,Metro Rail,West Bengal,Bardhaman,558.36,1262,1502,16,0.54,0.54,0.27,0.27,0.27,0.19,0.06,0.06,0.28,208,26589.06,4074.03,22515.03,8.2,42,94,38,9,-81.8,2117.06,101,71,0.76,1
LA-K-0287,Power Transmission,Karnataka,Belagavi,900.87,601,600,6,0.73,0.52,0.41,0.3,0.3,0.3,0.3,0.3,0.4,43,7382.41,1614.59,5767.82,20.3,48,66,29,5,-12.2,3441.13,99,71,0.69,1
LA-MP-0528,Canal/Irrigation,Madhya Pradesh,Gwalior,717.95,745,574,7,0.51,0.51,0.51,0.39,0.34,0.34,0.34,0.24,0.4,67,14547.7,4950.38,9597.32,24.7,36,108,16,2,-43.3,2773.59,98,71,0.69,1
LA-WB-0628,Railway,West Bengal,Durgapur,614.83,828,673,8,0.71,0.49,0.49,0.3,0.29,0.29,0.29,0.15,0.38,53,10955.72,3063.42,7892.3,20.6,60,273,65,19,16.7,568.17,96,71,0.68,1
LA-AP-0787,Expressway,Andhra Pradesh,Kurnool,499.6,690,556,4,0.61,0.51,0.51,0.51,0.5,0.32,0.32,0.16,0.43,18,13525.22,3836.8,9688.42,23.7,28,52,32,7,13.0,2780.17,83,71,0.73,1
LA-K-0286,Industrial Corridor,Karnataka,Belagavi,2553.79,1536,1481,12,0.6,0.48,0.33,0.33,0.25,0.25,0.23,0.23,0.34,114,9283.5,1789.71,7493.79,20.8,57,82,41,10,-55.3,4141.85,128,70,0.68,1
LA-T-0699,State Highway,Telangana,Karimnagar,1109.97,1725,1751,17,0.85,0.63,0.52,0.5,0.43,0.41,0.35,0.34,0.5,224,41358.0,12535.32,28822.68,19.9,60,62,8,2,9.3,430.75,116,70,0.63,1
LA-AP-0759,Railway,Andhra Pradesh,Guntur,508.2,1034,1118,12,0.5,0.5,0.49,0.47,0.37,0.32,0.17,0.09,0.36,19,18968.66,4449.35,14519.31,16.4,60,215,104,7,-46.2,1688.35,115,70,0.66,1
LA-G-0428,Railway,Gujarat,Surat,806.12,380,408,4,0.5,0.39,0.34,0.27,0.22,0.05,0.05,0.05,0.23,52,5524.98,238.01,5286.97,21.8,29,145,19,0,-4.2,2883.24,110,70,0.63,1
LA-MP-0521,National Highway,Madhya Pradesh,Jabalpur,263.47,609,535,6,0.6,0.6,0.58,0.4,0.4,0.38,0.38,0.15,0.44,50,8091.49,2720.22,5371.27,17.9,39,104,58,3,4.3,3843.82,103,70,0.7,1
LA-K-0325,National Highway,Karnataka,Tumakuru,622.39,1609,1597,15,0.55,0.46,0.32,0.18,0.18,0.18,0.1,0.1,0.26,137,37221.57,5784.37,31437.2,10.1,39,283,81,18,9.1,3487.8,97,70,0.63,1
LA-MP-0567,Smart City,Madhya Pradesh,Satna,2715.44,1908,1804,18,0.76,0.76,0.63,0.62,0.56,0.56,0.56,0.47,0.61,220,17404.44,8588.41,8816.03,21.3,59,216,80,6,-13.3,434.22,95,70,0.75,1
LA-TN-0238,Metro Rail,Tamil Nadu,Vellore,719.94,540,604,5,0.72,0.48,0.35,0.35,0.35,0.29,0.2,0.19,0.37,85,12083.35,3398.48,8684.87,19.7,32,264,46,2,-50.0,4116.45,90,70,0.62,1
LA-MP-0577,Industrial Corridor,Madhya Pradesh,Satna,399.59,667,718,9,0.51,0.51,0.41,0.26,0.26,0.26,0.12,0.08,0.3,43,4395.55,997.12,3398.43,22.3,6,65,14,1,-30.0,1473.48,90,70,0.78,1
LA-T-0708,Defence,Telangana,Mahbubnagar,1601.8,1061,1214,12,0.39,0.37,0.27,0.27,0.21,0.2,0.06,0,0.22,110,16450.4,2481.95,13968.45,22.6,0,227,28,2,-42.1,1205.29,90,70,0.76,1
LA-MP-0522,SEZ,Madhya Pradesh,Jabalpur,3284.37,1877,1933,15,0.51,0.51,0.42,0.41,0.4,0.28,0.17,0.17,0.36,81,37001.65,7973.47,29028.18,24.8,19,77,46,0,7.1,3086.77,87,70,0.67,1
LA-T-0680,Industrial Corridor,Telangana,Nizamabad,2442.99,1993,1814,16,0.62,0.44,0.39,0.32,0.24,0.07,0.07,0.01,0.27,23,23616.39,1579.87,22036.52,15.7,49,116,66,16,-10.3,4100.1,98,69,0.64,1
LA-MP-0534,Industrial Corridor,Madhya Pradesh,Gwalior,592.71,1134,1176,11,0.43,0.33,0.23,0.23,0.13,0.13,0.1,0.0,0.2,115,10500.97,1018.04,9482.93,13.1,4,174,87,7,-22.4,1365.58,93,69,0.7,1
LA-G-0483,Smart City,Gujarat,Junagadh,194.95,353,398,4,0.67,0.6,0.38,0.38,0.36,0.24,0.21,0.21,0.38,44,8773.71,2105.33,6668.38,17.8,39,224,35,4,23.1,3630.86,92,69,0.74,1
LA-G-0454,Canal/Irrigation,Gujarat,Bhavnagar,2245.73,1389,1380,11,0.5,0.47,0.32,0.26,0.26,0.07,0.07,0.07,0.25,36,13869.31,717.93,13151.38,14.7,18,76,19,4,-35.5,3215.75,91,69,0.63,1
LA-UP-0151,Defence,Uttar Pradesh,Ghaziabad,242.68,674,711,7,0.48,0.39,0.38,0.2,0.15,0.15,0.15,0,0.24,81,15634.73,2173.96,13460.77,5.8,30,194,14,1,16.2,1987.99,90,69,0.62,1
LA-R-0390,Smart City,Rajasthan,Ajmer,2286.2,1233,1246,12,0.47,0.33,0.33,0.14,0.14,0.12,0,0,0.19,160,27451.87,3326.8,24125.07,14.2,4,218,77,18,-15.3,3455.9,89,69,0.67,1
LA-K-0278,Defence,Karnataka,Mangaluru,1071.12,1681,1820,16,0.5,0.5,0.38,0.21,0.21,0.19,0.19,0.11,0.29,7,14834.17,2611.64,12222.53,22.2,14,177,32,7,-94.7,2365.51,84,69,0.69,1
LA-T-0711,Metro Rail,Telangana,Mahbubnagar,663.91,690,611,5,0.35,0.35,0.35,0.26,0.17,0.17,0.13,0,0.22,28,13771.94,2296.52,11475.42,2.0,51,166,63,2,-93.8,3944.44,79,69,0.76,1
LA-TN-0207,SEZ,Tamil Nadu,Salem,1667.81,1398,1259,10,0.33,0.33,0.33,0.21,0.17,0.03,0,0,0.18,166,33153.5,755.99,32397.51,13.8,20,166,50,1,6.1,1122.59,115,68,0.68,1
LA-R-0396,State Highway,Rajasthan,Bikaner,634.15,1026,1008,14,0.48,0.36,0.29,0.24,0.24,0.17,0.08,0.08,0.24,40,20999.43,3053.58,17945.85,11.1,51,256,147,31,-51.0,2401.62,109,68,0.71,1
LA-G-0442,Defence,Gujarat,Rajkot,688.76,537,438,4,0.52,0.52,0.3,0.3,0.21,0.19,0.13,0.13,0.29,41,4839.89,875.06,3964.83,17.9,20,88,35,9,-25.0,2413.91,108,68,0.66,1
LA-K-0262,Metro Rail,Karnataka,Mysuru,968.01,726,518,3,0.63,0.4,0.36,0.29,0.25,0.25,0.25,0,0.3,38,15992.59,3499.55,12493.04,13.6,52,74,29,5,-37.5,3764.49,107,68,0.63,1
LA-M-0055,Metro Rail,Maharashtra,Solapur,550.73,728,743,10,0.5,0.5,0.46,0.31,0.31,0.19,0.19,0.16,0.33,40,4250.87,754.3,3496.57,3.4,45,205,100,10,10.8,4162.1,100,68,0.6,1
LA-AP-0808,Defence,Andhra Pradesh,Rajahmundry,1410.76,804,745,6,0.48,0.48,0.39,0.35,0.29,0.29,0.2,0.2,0.33,82,6827.42,1718.54,5108.88,14.0,44,299,77,10,-35.6,2912.26,100,68,0.68,1
LA-WB-0633,Canal/Irrigation,West Bengal,Asansol,1800.7,1381,1446,12,0.67,0.62,0.36,0.36,0.36,0.22,0.22,0.21,0.38,168,13538.63,2309.36,11229.27,20.5,18,221,90,20,-18.9,3397.46,88,68,0.74,1
LA-M-0068,Industrial Corridor,Maharashtra,Amravati,623.91,383,392,7,0.52,0.33,0.33,0.31,0.29,0.06,0.06,0.06,0.24,24,4890.12,253.09,4637.03,8.2,24,206,110,8,-9.5,3968.38,85,68,0.74,1
LA-K-0305,Railway,Karnataka,Ballari,416.74,349,398,5,0.49,0.49,0.49,0.45,0.35,0.16,0.16,0.16,0.34,55,6015.76,838.1,5177.66,4.9,46,133,53,13,-8.5,3353.19,81,68,0.75,1
